Trade ID;Pfolio Code;type securities;sec name;securities name;type;trade date;settlement date;amount;curr;delete;;system;sec name;SID;remarks;
350130;22VCDS;OS;BPTR    ;BATAVIA PROSPERINDO TRANS Tbk PT                            ;S;30-Oct-23;01-Nov-23;5.000.000.000;IDR;N;              ;CBEST               ;BPTR                ;BDMN2VCDI00128      ;DVP BPTR                                                                                                      ;
350131;RD6EKP;OS;APIC    ;PACIFIC STRATEGIC FINANCIAL Tbk                             ;S;30-Oct-23;01-Nov-23;2.000.000.000;IDR;N;              ;CBEST               ;APIC                ;BDMN2QEKP00174      ;DVP APIC                                                                                                      ;
350124;RD6EKP;OS;BOGA    ;BINTANG OTO GLOBAL Tbk                                      ;P;30-Oct-23;01-Nov-23;2.100.000.000;IDR;N;              ;CBEST               ;BOGA                ;BDMN2QEKP00174      ;RVP BOGA                                                                                                      ;
350480;15DAP2;OS;HMSP    ;H M SAMPOERNA TBK                                           ;P;31-Oct-23;02-Nov-23;2.000.000.000;IDR;N;              ;CBEST               ;HMSP                ;BDMN2DAP200151      ;RVP HMSP                                                                                                      ;
350473;15INGC;OS;APIC    ;PACIFIC STRATEGIC FINANCIAL Tbk                             ;S;31-Oct-23;02-Nov-23;1.000.000.000;IDR;N;              ;CBEST               ;APIC                ;BDMN2INGC00127      ;DVP APIC                                                                                                      ;
350478;15TAWI;OS;ASGR    ;ASTRA GRAPHIA TBK                                           ;S;31-Oct-23;02-Nov-23;2.100.000.000;IDR;N;              ;CBEST               ;ASGR                ;BDMN2TAWI00163      ;DVP ASGR                                                                                                      ;
350479;21CDSE;OS;MIKA    ;MITRA KELUARGA KARYASEHAT TBK                               ;S;31-Oct-23;02-Nov-23;273.000.000;IDR;N;              ;CBEST               ;MIKA                ;BDMN2CDSE00109      ;DVP MIKA                                                                                                      ;
350476;21CDSE;OS;ULTJ    ;ULTRA JAYA MILK TBK                                         ;S;31-Oct-23;02-Nov-23;1.311.000.000;IDR;N;              ;CBEST               ;ULTJ                ;BDMN2CDSE00109      ;DVP ULTJ                                                                                                      ;
350470;21GEAF;OS;TPIA    ;TRI POLYTA INDONESIA TBK                                    ;S;31-Oct-23;02-Nov-23;120.000.000;IDR;N;              ;CBEST               ;TPIA                ;BDMN2GEAF00186      ;DVP TPIA                                                                                                      ;
350474;21SEDS;OS;BFIN    ;BFI FINANCE INDONESIA TBK                                   ;S;31-Oct-23;02-Nov-23;1.000.000.000;IDR;N;              ;CBEST               ;BFIN                ;BDMN2SEDS00187      ;DVP BFIN                                                                                                      ;
350475;21SEDS;OS;MEDC    ;MEDCO ENERGI INTERNATIONAL TbK                              ;S;31-Oct-23;02-Nov-23;790.000.000;IDR;N;              ;CBEST               ;MEDC                ;BDMN2SEDS00187      ;DVP MEDC                                                                                                      ;
350483;21SEDS;OS;TSPC    ;TEMPO SCAN PACIFIC Tbk                                      ;P;31-Oct-23;02-Nov-23;1.150.000.000;IDR;N;              ;CBEST               ;TSPC                ;BDMN2SEDS00187      ;RVP TSPC                                                                                                      ;
350482;22MAMS;OS;PGAS    ;PERUSAHAAN GAS NEGARA (PERSERO) Tbk                         ;P;31-Oct-23;02-Nov-23;100.000.000;IDR;N;              ;CBEST               ;PGAS                ;BDMN2MAMS00101      ;RVP PGAS                                                                                                      ;
350472;22PBF3;OS;NATO    ;NUSANTARA PROPERTI INTERNASIONAL TBK                        ;S;31-Oct-23;02-Nov-23;9.000.000.000;IDR;N;              ;CBEST               ;NATO                ;BDMN2PBF300120      ;DVP NATO                                                                                                      ;
350469;24CSFI;FI;SMOPPM2B;SUKUK MUDHARABAH II OKI PULP & PAPER MILLS TAHUN 2022 SERI B;P;31-Oct-23;01-Nov-23;23.000.000.000.000;IDR;N;00058362500.00;CBEST               ;SMOPPM02B           ;BDMN2CSFI00102      ;RVP SMOPPM02B                                                                                                 ;
350471;GPBLMF;OS;TPIA    ;TRI POLYTA INDONESIA TBK                                    ;S;31-Oct-23;02-Nov-23;400.000.000;IDR;N;              ;CBEST               ;TPIA                ;BDMN2GBMF00165      ;DVP TPIA                                                                                                      ;
350477;RD6EKP;OS;NIRO    ;NIRVANA DEVELOPMENT TBK                                     ;S;31-Oct-23;02-Nov-23;10.000.000.000;IDR;N;              ;CBEST               ;NIRO                ;BDMN2QEKP00174      ;DVP NIRO                                                                                                      ;
350481;RD6EKP;OS;STAR    ;STAR PETROCHEM TBK                                          ;P;31-Oct-23;02-Nov-23;150.000.000.000;IDR;N;              ;CBEST               ;STAR                ;BDMN2QEKP00174      ;RVP STAR                                                                                                      ;
350675;15ACP2;OS;DEWA    ;DHARMA HENWA Tbk PT                                         ;S;01-Nov-23;03-Nov-23;9.770.000.000;IDR;N;              ;CBEST               ;DEWA                ;BDMN2ACP200156      ;DVP DEWA                                                                                                      ;
350674;15ASC2;OS;DEWA    ;DHARMA HENWA Tbk PT                                         ;S;01-Nov-23;03-Nov-23;11.930.000.000;IDR;N;              ;CBEST               ;DEWA                ;BDMN2ASC200180      ;DVP DEWA                                                                                                      ;
350673;15CATI;OS;DEWA    ;DHARMA HENWA Tbk PT                                         ;S;01-Nov-23;03-Nov-23;36.680.000.000;IDR;N;              ;CBEST               ;DEWA                ;BDMN2CATI00188      ;DVP DEWA                                                                                                      ;
350677;15DAP2;OS;BBCA    ;BANK CENTRAL ASIA TBK                                       ;S;01-Nov-23;03-Nov-23;150.000.000;IDR;N;              ;CBEST               ;BBCA                ;BDMN2DAP200151      ;DVP BBCA                                                                                                      ;
350523;15DAP2;OS;MEDC    ;MEDCO ENERGI INTERNATIONAL TbK                              ;P;01-Nov-23;03-Nov-23;1.000.000.000;IDR;N;              ;CBEST               ;MEDC                ;BDMN2DAP200151      ;RVP MEDC                                                                                                      ;
350676;15DAPS;OS;DEWA    ;DHARMA HENWA Tbk PT                                         ;S;01-Nov-23;03-Nov-23;25.820.000.000;IDR;N;              ;CBEST               ;DEWA                ;BDMN2DAPS00162      ;DVP DEWA                                                                                                      ;
350685;15DIYO;OS;DEWA    ;DHARMA HENWA Tbk PT                                         ;S;01-Nov-23;03-Nov-23;11.850.000.000;IDR;N;              ;CBEST               ;DEWA                ;BDMN2DIYO00102      ;DVP DEWA                                                                                                      ;
350532;15DPC2;OS;CASA    ;CAPITAL FINANCIAL INDONESIA Tbk                             ;P;01-Nov-23;03-Nov-23;26.000.000.000;IDR;N;              ;CBEST               ;CASA                ;BDMN2DPCG00160      ;RVP CASA                                                                                                      ;
350692;15DPC2;OS;NATO    ;NUSANTARA PROPERTI INTERNASIONAL TBK                        ;S;01-Nov-23;03-Nov-23;30.000.000.000;IDR;N;              ;CBEST               ;NATO                ;BDMN2DPCG00160      ;DVP NATO                                                                                                      ;
350525;15ERWA;OS;BOGA    ;BINTANG OTO GLOBAL Tbk                                      ;P;01-Nov-23;03-Nov-23;15.000.000.000;IDR;N;              ;CBEST               ;BOGA                ;BDMN2ERWA00123      ;RVP BOGA                                                                                                      ;
350701;15ERWA;OS;NATO    ;NUSANTARA PROPERTI INTERNASIONAL TBK                        ;S;01-Nov-23;03-Nov-23;41.000.000.000;IDR;N;              ;CBEST               ;NATO                ;BDMN2ERWA00123      ;DVP NATO                                                                                                      ;
350684;15JEFF;OS;DEWA    ;DHARMA HENWA Tbk PT                                         ;S;01-Nov-23;03-Nov-23;9.430.000.000;IDR;N;              ;CBEST               ;DEWA                ;BDMN2JEFF00156      ;DVP DEWA                                                                                                      ;
350672;15JOAL;OS;DEWA    ;DHARMA HENWA Tbk PT                                         ;S;01-Nov-23;03-Nov-23;17.670.000.000;IDR;N;              ;CBEST               ;DEWA                ;BDMN2JOAL00161      ;DVP DEWA                                                                                                      ;
350680;15JONA;OS;DEWA    ;DHARMA HENWA Tbk PT                                         ;S;01-Nov-23;03-Nov-23;17.380.000.000;IDR;N;              ;CBEST               ;DEWA                ;BDMN2JONA00128      ;DVP DEWA                                                                                                      ;
350705;15JOWI;OS;CARE    ;CARE                                                        ;S;01-Nov-23;03-Nov-23;58.000.000.000;IDR;N;              ;CBEST               ;CARE                ;BDMN2JOWI00111      ;DVP CARE                                                                                                      ;
350536;15JOWI;OS;CASA    ;CAPITAL FINANCIAL INDONESIA Tbk                             ;P;01-Nov-23;03-Nov-23;45.000.000.000;IDR;N;              ;CBEST               ;CASA                ;BDMN2JOWI00111      ;RVP CASA                                                                                                      ;
350682;15JULI;OS;DEWA    ;DHARMA HENWA Tbk PT                                         ;S;01-Nov-23;03-Nov-23;8.600.000.000;IDR;N;              ;CBEST               ;DEWA                ;BDMN2JULI00159      ;DVP DEWA                                                                                                      ;
350706;15JUT2;OS;CARE    ;CARE                                                        ;S;01-Nov-23;03-Nov-23;36.500.000.000;IDR;N;              ;CBEST               ;CARE                ;BDMN2JUT200146      ;DVP CARE                                                                                                      ;
350537;15JUT2;OS;CASA    ;CAPITAL FINANCIAL INDONESIA Tbk                             ;P;01-Nov-23;03-Nov-23;27.000.000.000;IDR;N;              ;CBEST               ;CASA                ;BDMN2JUT200146      ;RVP CASA                                                                                                      ;
350679;15MAHE;OS;DEWA    ;DHARMA HENWA Tbk PT                                         ;S;01-Nov-23;03-Nov-23;18.460.000.000;IDR;N;              ;CBEST               ;DEWA                ;BDMN2MAHE00104      ;DVP DEWA                                                                                                      ;
350702;15PCLI;OS;CARE    ;CARE                                                        ;S;01-Nov-23;03-Nov-23;120.000.000.000;IDR;N;              ;CBEST               ;CARE                ;BDMN2PCLI00159      ;DVP CARE                                                                                                      ;
350527;15PCLI;OS;CASA    ;CAPITAL FINANCIAL INDONESIA Tbk                             ;P;01-Nov-23;03-Nov-23;100.000.000.000;IDR;N;              ;CBEST               ;CASA                ;BDMN2PCLI00159      ;RVP CASA                                                                                                      ;
350689;15TAWI;OS;ASGR    ;ASTRA GRAPHIA TBK                                           ;S;01-Nov-23;03-Nov-23;1.437.000.000;IDR;N;              ;CBEST               ;ASGR                ;BDMN2TAWI00163      ;DVP ASGR                                                                                                      ;
350690;15TAWI;OS;BDMN    ;BANK DANAMON INDONESIA TBK                                  ;S;01-Nov-23;03-Nov-23;874.000.000;IDR;N;              ;CBEST               ;BDMN                ;BDMN2TAWI00163      ;DVP BDMN                                                                                                      ;
350704;15TAWI;OS;PRDA    ;PRODIA WIDYAHUSADA Tbk PT                                   ;S;01-Nov-23;03-Nov-23;463.000.000;IDR;N;              ;CBEST               ;PRDA                ;BDMN2TAWI00163      ;DVP PRDA                                                                                                      ;
350678;15TIKA;OS;DEWA    ;DHARMA HENWA Tbk PT                                         ;S;01-Nov-23;03-Nov-23;15.460.000.000;IDR;N;              ;CBEST               ;DEWA                ;BDMN2TIKA00130      ;DVP DEWA                                                                                                      ;
350681;15TOMY;OS;DEWA    ;DHARMA HENWA Tbk PT                                         ;S;01-Nov-23;03-Nov-23;11.620.000.000;IDR;N;              ;CBEST               ;DEWA                ;BDMN2TOMY00128      ;DVP DEWA                                                                                                      ;
350683;15TONY;OS;DEWA    ;DHARMA HENWA Tbk PT                                         ;S;01-Nov-23;03-Nov-23;8.320.000.000;IDR;N;              ;CBEST               ;DEWA                ;BDMN2TONY00121      ;DVP DEWA                                                                                                      ;
350707;15TSG3;OS;CARE    ;CARE                                                        ;S;01-Nov-23;03-Nov-23;50.000.000.000;IDR;N;              ;CBEST               ;CARE                ;BDMN2TSG300136      ;DVP CARE                                                                                                      ;
350539;15TSG3;OS;CASA    ;CAPITAL FINANCIAL INDONESIA Tbk                             ;P;01-Nov-23;03-Nov-23;42.000.000.000;IDR;N;              ;CBEST               ;CASA                ;BDMN2TSG300136      ;RVP CASA                                                                                                      ;
350708;15YKP1;OS;CARE    ;CARE                                                        ;S;01-Nov-23;03-Nov-23;103.000.000.000;IDR;N;              ;CBEST               ;CARE                ;BDMN2YKP100152      ;DVP CARE                                                                                                      ;
350538;15YKP1;OS;CASA    ;CAPITAL FINANCIAL INDONESIA Tbk                             ;P;01-Nov-23;03-Nov-23;87.000.000.000;IDR;N;              ;CBEST               ;CASA                ;BDMN2YKP100152      ;RVP CASA                                                                                                      ;
350693;15YKP5;OS;CARE    ;CARE                                                        ;S;01-Nov-23;03-Nov-23;32.000.000.000;IDR;N;              ;CBEST               ;CARE                ;BDMN2YKP500175      ;DVP CARE                                                                                                      ;
350533;15YKP5;OS;CASA    ;CAPITAL FINANCIAL INDONESIA Tbk                             ;P;01-Nov-23;03-Nov-23;27.000.000.000;IDR;N;              ;CBEST               ;CASA                ;BDMN2YKP500175      ;RVP CASA                                                                                                      ;
350526;21BNIS;OS;ACES    ;ACE HARDWARE INDONESIA TBK                                  ;P;01-Nov-23;03-Nov-23;40.791.000.000;IDR;N;              ;CBEST               ;ACES                ;BDMN2BNIS00161      ;RVP ACES                                                                                                      ;
350530;21BNIS;OS;ADRO    ;ADARO ENERGY TBK                                            ;P;01-Nov-23;03-Nov-23;71.697.000.000;IDR;N;              ;CBEST               ;ADRO                ;BDMN2BNIS00161      ;RVP ADRO                                                                                                      ;
350686;21BNIS;OS;AMRT    ;Sumber Alfaria Trijaya Tbk                                  ;S;01-Nov-23;03-Nov-23;4.618.000.000;IDR;N;              ;CBEST               ;AMRT                ;BDMN2BNIS00161      ;DVP AMRT                                                                                                      ;
350688;21BNIS;OS;ASII    ;ASTRA INTERNATIONAL TBK                                     ;S;01-Nov-23;03-Nov-23;12.344.000.000;IDR;N;              ;CBEST               ;ASII                ;BDMN2BNIS00161      ;DVP ASII                                                                                                      ;
350687;21BNIS;OS;BRPT    ;BARITO PACIFIC Tbk                                          ;S;01-Nov-23;03-Nov-23;23.993.000.000;IDR;N;              ;CBEST               ;BRPT                ;BDMN2BNIS00161      ;DVP BRPT                                                                                                      ;
350691;21BNIS;OS;HILL    ;HILLCON Tbk                                                 ;S;01-Nov-23;03-Nov-23;8.254.000.000;IDR;N;              ;CBEST               ;HILL                ;BDMN2BNIS00161      ;DVP HILL                                                                                                      ;
350524;21BNIS;OS;MDKA    ;MERDEKA COPPER GOLD TBK                                     ;P;01-Nov-23;03-Nov-23;25.695.000.000;IDR;N;              ;CBEST               ;MDKA                ;BDMN2BNIS00161      ;RVP MDKA                                                                                                      ;
350531;21BNIS;OS;SMGR    ;SEMEN INDONESIA (PERSERO) Tbk                               ;P;01-Nov-23;03-Nov-23;20.654.000.000;IDR;N;              ;CBEST               ;SMGR                ;BDMN2BNIS00161      ;RVP SMGR                                                                                                      ;
350694;21PEFF;OS;NATO    ;NUSANTARA PROPERTI INTERNASIONAL TBK                        ;S;01-Nov-23;03-Nov-23;12.000.000.000;IDR;N;              ;CBEST               ;NATO                ;BDMN2PEFF00166      ;DVP NATO                                                                                                      ;
350534;21PEFF;OS;STAR    ;STAR PETROCHEM TBK                                          ;P;01-Nov-23;03-Nov-23;50.000.000.000;IDR;N;              ;CBEST               ;STAR                ;BDMN2PEFF00166      ;RVP STAR                                                                                                      ;
350709;21RSDE;OS;SRAJ    ;SEJAHTERARAYA ANUGRAHJAYA                                   ;S;01-Nov-23;03-Nov-23;3.300.000.000;IDR;N;              ;CBEST               ;SRAJ                ;BDMN2RSDE00118      ;DVP SRAJ                                                                                                      ;
350699;22MAMS;OS;ASII    ;ASTRA INTERNATIONAL TBK                                     ;S;01-Nov-23;03-Nov-23;50.000.000;IDR;N;              ;CBEST               ;ASII                ;BDMN2MAMS00101      ;DVP ASII                                                                                                      ;
350696;22MAMS;OS;BTPS    ;BANK TABUNGAN PENSIUNAN NASIONAL SYARIAH TBK                ;S;01-Nov-23;03-Nov-23;200.000.000;IDR;N;              ;CBEST               ;BTPS                ;BDMN2MAMS00101      ;DVP BTPS                                                                                                      ;
350541;22MAMS;OS;MIKA    ;MITRA KELUARGA KARYASEHAT TBK                               ;P;01-Nov-23;03-Nov-23;100.000.000;IDR;N;              ;CBEST               ;MIKA                ;BDMN2MAMS00101      ;RVP MIKA                                                                                                      ;
350697;22MAMS;OS;PGAS    ;PERUSAHAAN GAS NEGARA (PERSERO) Tbk                         ;S;01-Nov-23;03-Nov-23;100.000.000;IDR;N;              ;CBEST               ;PGAS                ;BDMN2MAMS00101      ;DVP PGAS                                                                                                      ;
350698;22MAMS;OS;TLKM    ;PT TELKOM INDONESIA (PERSERO) TBK                           ;S;01-Nov-23;03-Nov-23;100.000.000;IDR;N;              ;CBEST               ;TLKM                ;BDMN2MAMS00101      ;DVP TLKM                                                                                                      ;
350540;22MAMS;OS;UNTR    ;UNITED TRACTORS TBK                                         ;P;01-Nov-23;03-Nov-23;25.000.000;IDR;N;              ;CBEST               ;UNTR                ;BDMN2MAMS00101      ;RVP UNTR                                                                                                      ;
350695;22PBF3;OS;NATO    ;NUSANTARA PROPERTI INTERNASIONAL TBK                        ;S;01-Nov-23;03-Nov-23;75.000.000.000;IDR;N;              ;CBEST               ;NATO                ;BDMN2PBF300120      ;DVP NATO                                                                                                      ;
350535;22PBF3;OS;STAR    ;STAR PETROCHEM TBK                                          ;P;01-Nov-23;03-Nov-23;300.000.000.000;IDR;N;              ;CBEST               ;STAR                ;BDMN2PBF300120      ;RVP STAR                                                                                                      ;
350700;25CSMM;FI;PBS031  ;PBS031                                                      ;S;01-Nov-23;03-Nov-23;100.000.000.000.000;IDR;N;00120650000.00;BI-SSSS             ;PBS031              ;BDMN2SYMM00106      ;DVP PBS031                                                                                                    ;
350528;RD6EKP;OS;BOGA    ;BINTANG OTO GLOBAL Tbk                                      ;P;01-Nov-23;03-Nov-23;21.000.000.000;IDR;N;              ;CBEST               ;BOGA                ;BDMN2QEKP00174      ;RVP BOGA                                                                                                      ;
350703;RD6EKP;OS;CARE    ;CARE                                                        ;S;01-Nov-23;03-Nov-23;115.000.000.000;IDR;N;              ;CBEST               ;CARE                ;BDMN2QEKP00174      ;DVP CARE                                                                                                      ;
350529;RD6EKP;OS;CASA    ;CAPITAL FINANCIAL INDONESIA Tbk                             ;P;01-Nov-23;03-Nov-23;50.000.000.000;IDR;N;              ;CBEST               ;CASA                ;BDMN2QEKP00174      ;RVP CASA                                                                                                      ;
350714;15ACP2;OS;DEWA    ;DHARMA HENWA Tbk PT                                         ;S;02-Nov-23;06-Nov-23;4.600.000.000;IDR;N;              ;CBEST               ;DEWA                ;BDMN2ACP200156      ;DVP DEWA                                                                                                      ;
350717;15ASC2;OS;DEWA    ;DHARMA HENWA Tbk PT                                         ;S;02-Nov-23;06-Nov-23;5.630.000.000;IDR;N;              ;CBEST               ;DEWA                ;BDMN2ASC200180      ;DVP DEWA                                                                                                      ;
350716;15CATI;OS;DEWA    ;DHARMA HENWA Tbk PT                                         ;S;02-Nov-23;06-Nov-23;17.310.000.000;IDR;N;              ;CBEST               ;DEWA                ;BDMN2CATI00188      ;DVP DEWA                                                                                                      ;
350715;15DAPS;OS;DEWA    ;DHARMA HENWA Tbk PT                                         ;S;02-Nov-23;06-Nov-23;12.060.000.000;IDR;N;              ;CBEST               ;DEWA                ;BDMN2DAPS00162      ;DVP DEWA                                                                                                      ;
350725;15DIYO;OS;DEWA    ;DHARMA HENWA Tbk PT                                         ;S;02-Nov-23;06-Nov-23;5.590.000.000;IDR;N;              ;CBEST               ;DEWA                ;BDMN2DIYO00102      ;DVP DEWA                                                                                                      ;
350743;15DPC2;OS;APIC    ;PACIFIC STRATEGIC FINANCIAL Tbk                             ;P;02-Nov-23;06-Nov-23;6.000.000.000;IDR;N;              ;CBEST               ;APIC                ;BDMN2DPCG00160      ;RVP APIC                                                                                                      ;
350732;15DPC2;OS;BHAT    ;BHAKTI MULTI ARTHA Tbk                                      ;S;02-Nov-23;06-Nov-23;6.000.000.000;IDR;N;              ;CBEST               ;BHAT                ;BDMN2DPCG00160      ;DVP BHAT                                                                                                      ;
350733;15DPC2;OS;STAR    ;STAR PETROCHEM TBK                                          ;S;02-Nov-23;06-Nov-23;22.000.000.000;IDR;N;              ;CBEST               ;STAR                ;BDMN2DPCG00160      ;DVP STAR                                                                                                      ;
350724;15JEFF;OS;DEWA    ;DHARMA HENWA Tbk PT                                         ;S;02-Nov-23;06-Nov-23;4.450.000.000;IDR;N;              ;CBEST               ;DEWA                ;BDMN2JEFF00156      ;DVP DEWA                                                                                                      ;
350713;15JOAL;OS;DEWA    ;DHARMA HENWA Tbk PT                                         ;S;02-Nov-23;06-Nov-23;8.330.000.000;IDR;N;              ;CBEST               ;DEWA                ;BDMN2JOAL00161      ;DVP DEWA                                                                                                      ;
350720;15JONA;OS;DEWA    ;DHARMA HENWA Tbk PT                                         ;S;02-Nov-23;06-Nov-23;8.180.000.000;IDR;N;              ;CBEST               ;DEWA                ;BDMN2JONA00128      ;DVP DEWA                                                                                                      ;
350722;15JULI;OS;DEWA    ;DHARMA HENWA Tbk PT                                         ;S;02-Nov-23;06-Nov-23;4.060.000.000;IDR;N;              ;CBEST               ;DEWA                ;BDMN2JULI00159      ;DVP DEWA                                                                                                      ;
350719;15MAHE;OS;DEWA    ;DHARMA HENWA Tbk PT                                         ;S;02-Nov-23;06-Nov-23;8.690.000.000;IDR;N;              ;CBEST               ;DEWA                ;BDMN2MAHE00104      ;DVP DEWA                                                                                                      ;
350718;15TIKA;OS;DEWA    ;DHARMA HENWA Tbk PT                                         ;S;02-Nov-23;06-Nov-23;7.280.000.000;IDR;N;              ;CBEST               ;DEWA                ;BDMN2TIKA00130      ;DVP DEWA                                                                                                      ;
350721;15TOMY;OS;DEWA    ;DHARMA HENWA Tbk PT                                         ;S;02-Nov-23;06-Nov-23;5.490.000.000;IDR;N;              ;CBEST               ;DEWA                ;BDMN2TOMY00128      ;DVP DEWA                                                                                                      ;
350723;15TONY;OS;DEWA    ;DHARMA HENWA Tbk PT                                         ;S;02-Nov-23;06-Nov-23;3.920.000.000;IDR;N;              ;CBEST               ;DEWA                ;BDMN2TONY00121      ;DVP DEWA                                                                                                      ;
350740;15YKP4;OS;APIC    ;PACIFIC STRATEGIC FINANCIAL Tbk                             ;P;02-Nov-23;06-Nov-23;31.000.000.000;IDR;N;              ;CBEST               ;APIC                ;BDMN2YKP400145      ;RVP APIC                                                                                                      ;
350739;15YKP4;OS;STAR    ;STAR PETROCHEM TBK                                          ;S;02-Nov-23;06-Nov-23;280.000.000.000;IDR;N;              ;CBEST               ;STAR                ;BDMN2YKP400145      ;DVP STAR                                                                                                      ;
350744;15YKP5;OS;APIC    ;PACIFIC STRATEGIC FINANCIAL Tbk                             ;P;02-Nov-23;06-Nov-23;18.700.000.000;IDR;N;              ;CBEST               ;APIC                ;BDMN2YKP500175      ;RVP APIC                                                                                                      ;
350734;15YKP5;OS;STAR    ;STAR PETROCHEM TBK                                          ;S;02-Nov-23;06-Nov-23;167.000.000.000;IDR;N;              ;CBEST               ;STAR                ;BDMN2YKP500175      ;DVP STAR                                                                                                      ;
350727;21BNIS;OS;BRPT    ;BARITO PACIFIC Tbk                                          ;S;02-Nov-23;06-Nov-23;96.546.000.000;IDR;N;              ;CBEST               ;BRPT                ;BDMN2BNIS00161      ;DVP BRPT                                                                                                      ;
350729;21BNIS;OS;HILL    ;HILLCON Tbk                                                 ;S;02-Nov-23;06-Nov-23;395.000.000;IDR;N;              ;CBEST               ;HILL                ;BDMN2BNIS00161      ;DVP HILL                                                                                                      ;
350728;21BNIS;OS;UNTR    ;UNITED TRACTORS TBK                                         ;S;02-Nov-23;06-Nov-23;3.754.000.000;IDR;N;              ;CBEST               ;UNTR                ;BDMN2BNIS00161      ;DVP UNTR                                                                                                      ;
350735;21PEFF;OS;CARE    ;CARE                                                        ;S;02-Nov-23;06-Nov-23;15.000.000.000;IDR;N;              ;CBEST               ;CARE                ;BDMN2PEFF00166      ;DVP CARE                                                                                                      ;
350749;21PEFF;OS;NIRO    ;NIRVANA DEVELOPMENT TBK                                     ;P;02-Nov-23;06-Nov-23;38.000.000.000;IDR;N;              ;CBEST               ;NIRO                ;BDMN2PEFF00166      ;RVP NIRO                                                                                                      ;
350756;21SMUN;OS;ADRO    ;ADARO ENERGY TBK                                            ;S;02-Nov-23;06-Nov-23;3.248.000.000;IDR;N;              ;CBEST               ;ADRO                ;BDMN2SMUN00138      ;DVP ADRO                                                                                                      ;
350757;21SMUN;OS;ANTM    ;ANEKA TAMBANG TBK                                           ;S;02-Nov-23;06-Nov-23;2.923.000.000;IDR;N;              ;CBEST               ;ANTM                ;BDMN2SMUN00138      ;DVP ANTM                                                                                                      ;
350754;21SMUN;OS;ASII    ;ASTRA INTERNATIONAL TBK                                     ;P;02-Nov-23;06-Nov-23;1.012.000.000;IDR;N;              ;CBEST               ;ASII                ;BDMN2SMUN00138      ;RVP ASII                                                                                                      ;
350752;21SMUN;OS;CPIN    ;CHAROEN PHOKPHAND INDONESIA Tbk                             ;P;02-Nov-23;06-Nov-23;364.000.000;IDR;N;              ;CBEST               ;CPIN                ;BDMN2SMUN00138      ;RVP CPIN                                                                                                      ;
350753;21SMUN;OS;ICBP    ;INDOFOOD CBP SUKSES MAKMUR Tbk                              ;P;02-Nov-23;06-Nov-23;150.000.000;IDR;N;              ;CBEST               ;ICBP                ;BDMN2SMUN00138      ;RVP ICBP                                                                                                      ;
350758;21SMUN;OS;INCO    ;VALE INDONESIA TBK                                          ;S;02-Nov-23;06-Nov-23;485.000.000;IDR;N;              ;CBEST               ;INCO                ;BDMN2SMUN00138      ;DVP INCO                                                                                                      ;
